ROI,rho,p_perm,CI_low,CI_high
V1,,0.001996007984031936,,
V2,,0.001996007984031936,,
V3,,0.001996007984031936,,
V3A,,0.001996007984031936,,
V3B,,0.001996007984031936,,
V4,,0.001996007984031936,,
LatOcc,,0.001996007984031936,,
