ROI,Spearman_rho,p_value
V1,0.0019004091564606713,0.01872481704739822
V2,0.0041843969774581265,2.2612836150040225e-07
V3,0.00660223433099383,3.1459557512010923e-16
V3A,0.012179097821647744,2.6654096213648025e-51
V3B,0.02272013874928238,7.329380349377903e-174
V4,0.017652467374613196,9.83444764621785e-106
LatOcc,0.0380640295762593,0.0
